source	target	source_gene	target_gene
A0A7M7KZ13	Q93099	LOC551465	HGD
A0A7M7IJQ4	Q9BXP2	411661	SLC12A9
Q1L6Q1	Q6XUX3	DSTYK	DSTYK
A0A7M7IQ03	P53350	413261	PLK1
A0A7M7H463	P19113	LOC408587	HDC
A0A7M7IXZ8	Q9H6R4	LOC551689	NOL6
A0A7M7R4D9	Q9Y697	410039	NFS1
A0A7M7L4N0	Q07075	LOC551518	ENPEP
A0A7M7GP99	P49748	LOC412025	ACADVL
A0A7M7R7A3	P61962	411901	DCAF7
A0A7M7R7E3	O75874	LOC551276	IDH1
A0A7M7GMW9	Q96KR1	552046	ZFR
A0A7M7GYT3	P30038	LOC551113	ALDH4A1
A0A7M7LRX0	Q8WYA6	409671	CTNNBL1
A0A7M7R533	Q96JC1	409186	VPS39
A0A7M7TFW9	Q9H4Z3	551754	PCIF1
A0A7M7RAQ1	Q9Y5W8	LOC413460	SNX13
A0A7M7TG56	Q9UID3	LOC552845	VPS51
A0A7M7IFV1	Q9P203	LOC411991	BTBD7
A0A7M7R697	Q6P3W7	412446	SCYL2
A0A7M7R6B5	Q14139	LOC409564	UBE4A
A0A7M7G040	Q9BV94	726952	EDEM2
A0A7M7GQE4	O75175	411794	CNOT3
A0A7M7MW80	P26196	LOC552206	DDX6
A0A7M7R5Q5	Q96KP4	412393	CNDP2
A0A7M7LPV9	O76031	411141	CLPX
A0A7M6UX09	Q9UJ83	LOC552738	HACL1
A0A7M7TFT1	Q13573	LOC551225	SNW1
A0A7M7GS79	Q9Y6J0	LOC412746	CABIN1
A0A7M7R4U5	Q15291	410855	RBBP5
A0A7M7H0I1	Q9P2H3	552021	IFT80
A0A7M7GNT7	Q12986	LOC412455	NFX1
A0A7M7L745	P04040	Cat	CAT
A0A7M7R6K7	Q9Y2Z2	LOC410941	MTO1
A0A7M7R7C5	O14744	410664	PRMT5
A0A7M7L5K7	Q96RQ3	LOC413233	MCCC1
A0A7M7R6P4	Q53GS9	LOC411030	USP39
Q1MU16	O60266	Ac3	ADCY3
A0A7M7GSI4	P11413	725325	G6PD
A0A7M7GVT3	Q9UM11	102654186	FZR1
A0A7M7FXR2	P40692	724296	MLH1
A0A7M7R6A3	P14868	LOC409945	DARS
A0A7M7GZT2	O60701	413356	UGDH
A0A7M7LTF7	Q96Q07	412384	BTBD9
A0A7M7L248	O00471	552574	EXOC5
A0A7M7R538	Q9H269	409117	VPS16
A0A7M7LRZ8	Q9NVH2	413351	INTS7
A0A7M7MPS0	P07954	LOC724321	FH
A0A7M7RA97	Q12931	LOC550968	TRAP1
A0A7M7R7H6	Q7L5Y6	551371	DET1
A0A7M7GRS7	P52824	408809	DGKQ
A0A7M7LNX9	O95405	413457	ZFYVE9
A0A7M7IGD6	P57737	LOC409082	CORO7
A0A7M7RBE0	P62140	409804	PPP1CB
A0A7M7R6J1	Q9H4L7	412850	SMARCAD1
A0A7M7MM86	P60510	LOC552290	PPP4C
A0A7M7H0M3	P53041	551854	PPP5C
A0A7M7KZM1	Q8WWY3	LOC410907	PRPF31
A0A7M7RC16	Q9Y285	LOC552768	FARSA
A0A7M7R5Y6	O75439	410022	PMPCB
A0A7M7II55	Q8IY81	107963983	FTSJ3
A0A7M7GSR4	Q12789	LOC100577886	GTF3C1
A0A7M7R857	Q9Y262	552056	EIF3L
A0A7M6UE88	O43395	408606	PRPF3
A0A7M7R563	Q96EN8	mal	MOCOS
A0A7M7IG12	Q9UBB9	408611	TFIP11
A0A7M7TF63	Q96JB2	410387	COG3
A0A7M7MVQ9	Q8IUR7	LOC726667	ARMC8
A0A7M7GVE0	Q9Y2X3	413935	NOP58
A0A7M7R910	O00408	LOC412573	PDE2A
A0A7M7LIG1	Q96QU8	726133	XPO6
A0A7M7R8D5	P08240	411542	SRPRA
A0A7M7R9C2	Q9BXP5	LOC413091	SRRT
A0A7M7R862	Q96AX1	411886	VPS33A
A0A7M7M194	Q15031	LOC552532	LARS2
A0A7M7RA17	P55039	552085	DRG2
A0A7M7GMJ6	Q9Y2H2	LOC408546	INPP5F
A0A7M7IIY5	Q96PH1	LOC408451	NOX5
A0A7M7MW36	P51787	LOC100577254	KCNQ1
A0A7M7GRH0	Q96S15	413957	WDR24
A0A7M7IID1	O75534	414014	CSDE1
A0A7M7GWK7	Q16851	412069	UGP2
A0A7M7R804	Q9BSJ2	412823	TUBGCP2
A0A7M7R6W5	P20711	410638	DDC
A0A7M7R905	Q9Y295	411280	DRG1
A0A7M7GTS1	Q14117	LOC102654653	DPYS
A0A7M7R5K6	P54578	411572	USP14
A0A7M7LP75	Q9NRL2	LOC411756	BAZ1A
A0A7M7R8K7	P49419	411140	ALDH7A1
A0A7M7R8W6	Q6P1J9	412377	CDC73
A0A7M7LLV4	Q9UGI0	LOC413699	ZRANB1
A0A7M7TFR2	P51688	LOC550884	SGSH
A0A7M7RA11	Q8WUM4	412662	PDCD6IP
A0A7M7IGT1	Q96GQ7	726537	DDX27
A0A7M7L6J3	Q8TBC4	409394	UBA3
A0A7M7R3M8	P36873	409430	PPP1CC
A0A7M7FZ10	Q13435	726336	SF3B2
A0A7M7H474	Q9Y4C8	LOC552231	RBM19
A0A7M7MR77	O94761	LOC410301	RECQL4
A0A7M7TFV7	P48444	552346	ARCN1
A0A7M7R6I8	Q8N9R8	408910	SCAI
A0A7M7MK88	Q9NVU7	LOC552280	SDAD1
A0A7M7H583	P35251	LOC413807	RFC1
A0A7M7MRU8	Q6R327	LOC413223	RICTOR
A0A7M7INA9	Q9UBE8	LOC410956	NLK
A0A7M7MPG7	Q15021	LOC412035	NCAPD2
A0A7M7GSK6	Q9BT78	LOC551284	COPS4
A0A7M7L563	O00462	LOC409334	MANBA
A0A7M7RAQ3	P48553	551472	TRAPPC10
A0A7M7MPE8	Q8N6S4	LOC412451	ANKRD13C
A0A7M6UPF4	Q68DH5	551163	LMBRD2
A0A7M7SR82	Q6ZNB6	LOC726904	NFXL1
A0A7M7MXK8	Q9H078	LOC725826	CLPB
A0A7M7R8C7	Q8N5D0	413547	WDTC1
A0A7M7R9X4	Q13356	550966	PPIL2
A0A7M7GFA0	O00567	LOC100578005	NOP56
A0A7M7LN63	Q9NRJ4	LOC409680	TULP4
A0A7M7GW68	Q969S9	LOC408831	GFM2
A0A7M7MH51	P08243	LOC724480	ASNS
A0A7M7R596	Q9NVM9	408448	INTS13
A0A7M7TFR4	Q13042	550920	CDC16
A0A7M7G965	Q13823	LOC725378	GNL2
A0A7M7ML14	O94812	LOC408914	BAIAP3
A0A7M7GWN8	Q9Y2E8	LOC414012	SLC9A8
A0A7M7GZQ0	Q96DM3	LOC412629	RMC1
A0A7M7SRD4	Q9NRZ9	LOC726235	HELLS
A0A7M7TF27	P11766	409773	ADH5
A0A7M7R818	Q92993	413101	KAT5
A0A7M7MLH8	Q13523	LOC725406	PRPF4B
A0A7M7IXE6	Q9Y450	LOC551269	HBS1L
A0A7M7R8B0	Q96Q42	413195	ALS2
A0A7M7MUN9	Q7RTS9	LOC724804	DYM
A0A7M7GRX6	Q9UQ90	410289	SPG7
A0A7M7MN98	P09471	LOC102656465	GNAO1
A0A7M7R773	O60942	LOC414001	RNGTT
A0A7M7H0F2	O43242	551550	PSMD3
A0A7M7GYH6	O95922	LOC409770	TTLL1
A0A7M7LQV7	Q9NUT2	LOC552433	ABCB8
A0A7M7GU57	Q96JM7	LOC408319	L3MBTL3
A0A7M7GR49	O14672	LOC409611	ADAM10
A0A7M6UMY8	Q9ULQ1	Tpcn1	TPCN1
A0A7M7IEP1	Q9UM73	LOC408718	ALK
A0A7M7IIA5	Q86X55	411458	CARM1
A0A7M7R5G4	Q9UPS6	411985	SETD1B
A0A7M7GU02	P12270	LOC412508	TPR
A0A7M7H2M4	O60832	LOC413805	DKC1
A0A7M7IFD0	Q08J23	411579	NSUN2
A0A7M7R2X6	Q9GZV3	LOC408935	SLC5A7
A0A7M7R3U8	P61421	409946	ATP6V0D1
A0A7M7R5J0	P23786	LOC411473	CPT2
A0A7M7G2V4	P54198	727229	HIRA
A0A7M7IMC5	O95391	551551	SLU7
A0A7M7GU63	Q9NRK6	552744	ABCB10
A0A7M7RCD8	P55084	551775	HADHB
A0A7M7LTK7	Q8N5C6	725268	SRBD1
A0A7M7MUI6	Q15067	LOC552757	ACOX1
A0A7M7R8B8	Q12770	411459	SCAP
A0A7M7GVU9	Q9BX70	LOC413971	BTBD2
A0A7M7SRL6	P16930	LOC552210	FAH
A0A7M7SSB3	Q9H3E2	LOC727331	SNX25
A0A7M7TEW9	Q9Y5P4	409312	COL4A3BP
A0A7M7MRK2	Q96DX4	410772	RSPRY1
A0A7M7GUC2	Q86US8	409795	SMG6
A0A7M7L3X1	Q16181	725834	SEPT7
A0A7M7GJD5	O00231	408397	PSMD11
A0A7M7IKC6	Q9BTY2	412394	FUCA2
A0A7M7R4H3	Q9NW82	410205	WDR70
A0A7M7FZW5	Q9P1Q0	725982	VPS54
A0A7M7GMC9	Q13724	411730	MOGS
A0A7M7R4L7	Q15020	410749	SART3
A0A7M7GQD3	Q8TEK3	LOC411070	DOT1L
A0A7M7MPJ5	O95394	LOC725539	PGM3
A0A7M7M0Y6	Q9BYC5	552522	FUT8
A0A7M7MR26	Q86YS7	LOC726875	C2CD5
A0A7M7R5D7	Q9NVM4	LOC408925	PRMT7
A0A7M7M4F4	Q8TBZ3	411604	WDR20
A0A7M7MKV5	Q8WX92	LOC100578503	NELFB
A0A7M7GXV2	Q15008	552319	PSMD6
A0A7M7R4Q2	Q96SZ6	410388	CDK5RAP1
A0A7M7IFM9	Q9NTJ5	411013	SACM1L
A0A7M7R6Z7	Q9H2J7	LOC411199	SLC6A15
A0A7M7IKK4	P42685	412588	FRK
A0A7M7GRA6	Q9H089	551834	LSG1
A0A7M7R9Z3	P50579	551771	METAP2
A0A7M7R875	P46063	413362	RECQL
A0A7M7TFG3	Q7Z6L1	412224	TECPR1
A0A7M7LKA0	Q9HCE9	408908	ANO8
A0A7M7H0T2	Q9Y620	552169	RAD54B
A0A7M7R5D4	Q8N1G2	411249	CMTR1
A0A7M7GUR9	Q96L92	408945	SNX27
A0A7M7KXL5	Q5VST9	LOC409821	OBSCN
A0A7M7L8J4	Q13564	LOC550745	NAE1
A0A7M7GZA9	Q13308	LOC410685	PTK7
A0A7M7H0W0	Q9Y276	552253	BCS1L
A0A7M7MP84	Q15022	LOC409170	SUZ12
A0A7M7MN84	Q9H6U8	LOC413917	ALG9
A0A7M7M5W5	Q9Y2R4	724538	DDX52
A0A7M7MV32	Q9C0B0	LOC409753	UNK
A0A7M7GRB8	Q9NR71	LOC409628	ASAH2
A0A7M7R7Z1	Q9NW64	411538	RBM22
A0A7M7R8J9	Q96C11	LOC411100	FGGY
A0A7M7GLW6	Q96G46	409969	DUS3L
A0A7M7TFQ2	P26368	LOC550656	U2AF2
A0A7M7IJ10	Q8N5G2	LOC412398	MACO1
A0A7M6W8H4	Q9NNW7	Trxr-1	TXNRD2
A0A7M7GTS4	P23381	727582	WARS
A0A7M7R7Q5	Q99835	411904	SMO
A0A7M7R7B5	Q9NQW7	410616	XPNPEP1
A0A7M7R7N8	Q14166	411090	TTLL12
A0A7M7LP70	Q68CQ4	LOC411603	DIEXF
A0A7M7R3S6	O75191	409884	XYLB
A0A7M7R5F3	Q7L5Y1	LOC411307	ENOSF1
A0A7M7L7W3	P78344	LOC411154	EIF4G2
A0A7M7MRM5	Q9Y4D2	LOC413224	DAGLA
A0A7M7R6C8	P00505	412675	GOT2
A0A7M7L199	Q9H1V8	LOC409142	SLC6A17
A0A7M7R4T2	Q9UMS4	408750	PRPF19
A0A7M7R6W0	Q8TDM6	LOC410178	DLG5
A0A7M7LN75	Q96AX9	409303	MIB2
A0A7M7R838	Q96D46	552010	NMD3
A0A7M7R9R9	Q9Y2M5	413623	KLHL20
A0A7M7LQ06	O00400	408402	SLC33A1
A0A7M7R607	Q8TEX9	LOC412817	IPO4
A0A7M7R6C5	P50750	412560	CDK9
A0A7M7R7T9	Q9UGP8	412505	SEC63
A0A7M7L657	P12955	LOC551552	PEPD
A0A7M7LPI8	O00487	410072	PSMD14
A0A7M7R568	P38405	411011	GNAL
A0A7M7R4M1	Q8N1F7	410343	NUP93
A0A7M7L6N8	Q9UJX6	LOC411942	ANAPC2
A0A7M7SQD3	P07237	LOC551435	P4HB
A0A7M7RA61	P16219	411697	ACADS
A0A7M7MVJ3	P23467	LOC100576384	PTPRB
A0A7M7GF80	Q9UI12	409055	ATP6V1H
A0A7M7MTG9	Q9UKM7	LOC413579	MAN1B1
A0A7M7R6J8	P80404	LOC408955	ABAT
A0A7M7R548	O00743	410924	PPP6C
A0A7M7R5S8	Q9Y6R4	409125	MAP3K4
A0A7M7R5H2	O60645	412036	EXOC3
A0A7M7SQP4	Q96BD0	LOC107965041	SLCO4A1
A0A7M7MPK4	Q15058	412638	KIF14
A0A7M7LMY1	Q8N766	LOC552077	EMC1
A0A7M7R8I4	Q5MNZ6	412972	WDR45B
A0A7M7R5X7	Q86UV5	LOC409985	USP48
A8J4S9	O43280	>sp|A8J4S9|TREA_APIME	TREH
A0A7M7R2U7	P11310	408567	ACADM
A0A7M7KY12	Q9Y6V7	LOC725441	DDX49
A0A7M7RAR1	O75083	412495	WDR1
A0A7M7TFU4	O75530	LOC551412	EED
A0A7M7R7M9	P53582	LOC410385	METAP1
A0A7M7LKQ6	Q96KP1	726595	EXOC2
A0A7M7R499	Q9HCE5	409900	METTL14
A0A7M7GE41	Q92545	LOC100578433	TMEM131
A0A7M7L5B1	Q10713	LOC552175	PMPCA
A0A7M7MUI0	P36578	LOC408526	RPL4
A0A7M7FXU1	Q13867	724901	BLMH
A0A7M7R900	Q15084	412526	PDIA6
A0A7M7GNW1	O95428	LOC413021	PAPLN
A0A7M7MRR1	Q8IYD8	LOC409579	FANCM
A0A7M7TF20	Q92947	410254	GCDH
A0A7M7LIE1	P32754	725400	HPD
A0A7M7SQ25	Q9UKV5	LOC100576187	AMFR
A0A7M7GWC4	Q14498	LOC552289	RBM39
A0A7M7GW93	O14776	409045	TCERG1
A0A7M7GPT5	Q9UBT7	LOC552017	CTNNAL1
A0A7M7LN55	Q9UHX1	LOC725115	PUF60
A0A7M7MWL5	Q04671	LOC551871	OCA2
A0A7M7LPK4	O60547	LOC411696	GMDS
A0A7M6URT9	Q00535	408325	CDK5
A0A7M7MSR5	Q9UBZ9	LOC726862	REV1
A0A7M7TFF2	Q92759	412010	GTF2H4
A0A7M7GRN8	Q16572	LOC725064	SLC18A3
A0A7M7R8S4	Q86U44	551911	METTL3
A0A7M7MND9	Q92878	LOC726642	RAD50
A0A7M7R3N6	Q15131	LOC409462	CDK10
A0A7M7R6K5	Q9Y2V7	410298	COG6
A0A7M7LIE4	P51530	LOC725518	DNA2
A0A7M7FZ09	Q96CW5	726073	TUBGCP3
A0A7M7R7R3	P78536	LOC551599	ADAM17
A0A7M7RCN1	P40938	551990	RFC3
A0A7M7L944	P27694	LOC725934	RPA1
A0A7M7R6B3	P49411	408328	TUFM
A0A7M7R8N9	Q12834	552186	CDC20
A0A7M7R7I8	P60228	551242	EIF3E
A0A7M7SQK6	Q9UJA3	LOC412034	MCM8
A0A7M7RAA9	Q6IA86	LOC412937	ELP2
A0A7M7RBE4	O95376	552264	ARIH2
A0A7M7L6E8	Q14160	LOC413669	SCRIB
A0A7M7R798	Q8TBB6	409565	SLC7A14
A0A7M7MWS9	P54278	LOC100576649	PMS2
A0A7M6UGK8	P04843	Rpn1	RPN1
A0A7M7RCB6	Q8NBF6	LOC551701	AVL9
A0A7M7R706	P57740	413675	NUP107
A0A7M7GSE9	Q92905	551410	COPS5
A0A7M7R7N6	P00439	LOC408622	PAH
A0A7M7MRQ9	P49848	409735	TAF6
A0A7M7MM50	P08236	LOC409814	GUSB
A0A7M7IGY6	Q58A45	409718	PAN3
A0A7M7TG47	Q9HD40	552745	SEPSECS
A0A7M7GS11	O95470	551593	SGPL1
A0A7M7IHP8	Q7Z2K6	LOC411731	ERMP1
A0A7M7IM62	P39656	552051	DDOST
A0A7M7MRU5	Q9Y4B4	LOC413753	RAD54L2
A0A7M7G0X5	Q8IY18	724244	SMC5
Q9XZJ1	P43004	EAAT	SLC1A2
A0A7M7RAB7	Q4ZIN3	LOC551846	TMEM259
A0A7M7TFA5	O15254	412020	ACOX3
A0A7M7R845	Q6NYC1	LOC411069	JMJD6
A0A7M7RBF3	Q8NB90	411003	SPATA5
A0A7M7R9R8	Q92989	551305	CLP1
A0A7M7H1G0	Q9P260	552605	RELCH
A0A7M7IFI6	Q9NV06	411024	DCAF13
A0A7M7R747	P32780	550895	GTF2H1
A0A7M7G853	O00327	LOC725614	ARNTL
A0A7M7R9B4	Q96HW7	551396	INTS4
A0A7M7GQ58	O94923	LOC410118	GLCE
A0A7M7IKV2	Q8NDI1	726053	EHBP1
A0A7M7TFG6	Q8TBP0	LOC413361	TBC1D16
A0A7M7R7A6	P43378	411227	PTPN9
A0A7M7GWU5	Q8NHQ9	LOC102656093	DDX55
A0A7M7MNQ3	Q9UNS2	LOC552384	COPS3
A0A7M7GL68	P36406	LOC409166	TRIM23
A0A7M7GTY4	P26440	LOC408288	IVD
A0A7M7L475	P46199	406098	MTIF2
A0A7M7GXZ3	O95980	Reck	RECK
A0A7M7R501	Q9NVC6	411043	MED17
A0A7M7M149	P38435	LOC551869	GGCX
A0A7M7R2N3	Q9NY93	408371	DDX56
A0A7M7R7X0	Q96MX6	551480	WDR92
A0A7M7L2C1	Q9BRX2	551216	PELO
A0A7M7R487	Q9NVH1	409991	DNAJC11
A0A7M7IHP6	Q8NBZ7	410234	UXS1
A0A7M7GWU3	Q9NZB8	LOC551891	MOCS1
A0A7M6UQ09	Q13228	LOC551434	SELENBP1
A0A7M7R8S0	Q9H0R6	413878	QRSL1
A0A7M7MX98	P24752	LOC726218	ACAT1
A0A7M7GXW9	Q86TM6	100576667	SYVN1
A0A7M7MS32	Q9Y2G1	LOC410166	MYRF
A0A7M7R8S7	Q15019	LOC412180	SEPT2
A0A7M7GQU6	O95831	LOC412212	AIFM1
A0A7M7IEI9	Q58WW2	LOC725546	DCAF6
A0A7M7R8T8	Q9NUY8	552363	TBC1D23
A0A7M7IHS6	P15104	410066	GLUL
A0A7M7RAZ6	Q06609	552450	RAD51
A0A7M7GR90	Q96FV9	409647	THOC1
A0A7M7R9Q9	Q9UBL3	413573	ASH2L
A0A7M7TEZ1	Q96TA2	409178	YME1L1
A0A7M7TF02	O43290	LOC409347	SART1
A0A7M7R3L1	Q8TCT6	409691	SPPL3
A0A7M7H087	Q96PB1	411555	CASD1
A0A7M7R2X1	Q9H3U5	408634	MFSD1
A0A7M7R420	O00232	LOC409880	PSMD12
A0A7M7MN65	Q96QG7	LOC412880	MTMR9
A0A7M7R4F1	Q5NDL2	LOC408434	EOGT
A0A7M7GTS6	O75717	LOC409871	WDHD1
A0A7M7R8U8	P51649	412305	ALDH5A1
A0A7M7SRV4	P51687	LOC411849	SUOX
A0A7M7MLV0	Q8N4V2	LOC724578	SVOP
A0A7M7MTU1	O75448	408458	MED24
A0A7M7GWR5	P82251	409932	SLC7A9
A0A7M7MGI7	Q8TEB1	LOC406118	DCAF11
A0A7M7GZW0	Q9GZS0	LOC412174	DNAI2
A0A7M7H4U2	Q00403	411965	GTF2B
A0A7M7MMC0	Q96EZ8	LOC552310	MCRS1
A0A088ASM4	Q00325	PiC	SLC25A3
A0A7M7IHL0	Q9H2Y9	LOC409670	SLCO5A1
A0A7M7MTG2	Q8N6R0	412624	EEF1AKNMT
A0A7M7SRP0	Q9ULI1	LOC410501	NWD2
A0A7M7SR15	O15457	LOC726455	MSH4
Q2V0C9	P35520	CBS	CBS
A0A7M7GQW6	Q13492	409435	PICALM
A0A7M7R766	O00444	LOC550739	PLK4
A0A7M7R6M8	Q15047	LOC409098	SETDB1
A0A7M7GPW1	O43272	LOC411808	PRODH
A0A7M7GT13	Q92994	409247	BRF1
A0A7M7R588	Q96MR6	411073	CFAP57
A0A7M7H1B8	Q8IUQ4	410808	SIAH1
A0A7M7IHB7	P26641	551211	EEF1G
A0A7M7LPW1	Q9BVS4	LOC550969	RIOK2
A0A7M7R9Q7	P35250	LOC551540	RFC2
A0A7M7IKQ0	P48651	410330	PTDSS1
A0A7M7R7E0	O75419	410073	CDC45
A0A7M7R934	Q5VST6	413279	ABHD17B
A0A7M7KZ20	Q9H694	LOC413416	BICC1
A0A7M7IIR9	Q5VU57	LOC552096	AGBL4
A0A7M7TFM7	Q15831	551198	STK11
A0A7M7R3D0	P63244	409450	RACK1
A0A7M7R7K3	P42785	551273	PRCP
A0A7M7M406	O00541	724129	PES1
A0A7M7R8L2	Q2TAA5	552533	ALG11
A0A7M7G8P2	Q96KA5	726579	CLPTM1L
A0A7M7MQI6	Q9BXR0	LOC411719	QTRT1
A0A7M7GSJ7	P49366	LOC100578266	DHPS
A0A7M7H0V3	Q9BXT6	LOC725388	MOV10L1
A0A7M7R5B7	Q9Y5P6	LOC409329	GMPPB
A0A7M7R790	Q9NPF4	411654	OSGEP
A0A7M7LN78	O43681	409264	ASNA1
A0A7M7GUG2	O75312	411230	ZPR1
A0A7M7R5Y3	Q69YN2	412734	CWF19L1
A0A7M7L1E6	P09172	751102	DBH
A0A7M7RAL8	Q9P2C4	552194	TMEM181
A0A7M7IJ59	Q8NBF2	LOC412789	NHLRC2
A0A7M7M3W6	Q5TKA1	LOC410863	LIN9
A0A7M7MH26	Q8IY22	LOC413783	CMIP
A0A7M7GZ27	Q9GZZ9	LOC409766	UBA5
A0A7M7R8D1	Q9Y303	LOC551952	AMDHD2
A0A7M7LKJ5	O95049	725204	TJP3
A0A7M7R6J2	P00966	LOC412923	ASS1
A0A7M7IRW0	Q96QU1	LOC412795	PCDH15
A0A7M7GQI4	P62873	410497	GNB1
A0A7M7MKX2	Q92833	LOC409252	JARID2
A0A7M7RCA4	P04424	LOC551670	ASL
A0A7M7R8N5	A0AV02	413689	SLC12A8
A0A7M7GZ78	Q8NCW6	LOC552496	GALNT11
A0A7M7R8E6	P37287	413643	PIGA
A0A7M7TFL2	Q99543	LOC413209	DNAJC2
A0A7M7R868	Q99447	551931	PCYT2
A0A7M7GZL2	Q8N465	LOC726115	D2HGDH
A0A7M7R5Q0	Q9GZN1	LOC409765	ACTR6
A0A7M7L971	Q9H8V3	LOC413063	ECT2
A0A7M7IL34	Q9UP83	552540	COG5
A0A7M7H041	Q9NWW7	LOC413154	C2orf42
A0A7M7R6X4	Q13895	LOC413588	BYSL
A0A7M7L3N4	P50613	LOC412339	CDK7
A0A7M7GM28	P39748	412308	FEN1
A0A7M7SQH0	Q6PI48	LOC725136	DARS2
A0A7M7GAL1	O94874	LOC411483	UFL1
A0A7M7L048	Q9NQX3	LOC552364	GPHN
A0A7M7GW58	P50213	409292	IDH3A
A0A7M7GZZ4	P31948	102656934	STIP1
A0A7M7L3X5	Q96EB6	411917	SIRT1
A0A7M7LN36	Q6ZW49	LOC411600	PAXIP1
A0A7M7MT27	O43246	LOC551796	SLC7A4
A0A7M7IHG3	P49023	LOC551919	PXN
A0A7M7SNK5	Q9BY12	LOC413873	SCAPER
A0A7M7MGJ5	O95251	LOC408793	KAT7
A0A7M7GZG0	Q5T9L3	100578715	WLS
A0A7M7ITQ0	Q8WUM0	LOC411735	NUP133
A0A7M7TF70	O14964	410510	HGS
A0A7M7L702	Q8NDL9	412727	AGBL5
A0A7M7TEY2	Q9UBP0	409576	SPAST
A0A7M7R848	Q4G0F5	413239	VPS26B
A0A7M7G001	Q8ND04	726359	SMG8
A0A7M7SQR3	Q9NRD5	LOC409315	PICK1
A0A7M7R6T9	P21953	409306	BCKDHB
A0A7M7R8V1	Q6EMB2	414032	TTLL5
A0A7M6UMZ6	P11177	PDHB	PDHB
A0A7M7GU33	Q5VU97	LOC412944	CACHD1
A0A7M7R3X8	P45954	409712	ACADSB
A0A7M7IJB8	Q8IWZ6	LOC411651	BBS7
A0A7M7R3H2	Q9UBR1	409250	UPB1
A0A7M7R7F9	Q6PML9	410816	SLC30A9
A0A7M7SRF6	O43151	LOC412878	TET3
A0A7M7R873	P04181	410583	OAT
A0A7M7R6U1	Q6ZS86	LOC408989	GK5
A0A7M7R7H3	Q92624	411998	APPBP2
A0A7M7RBB8	Q9BY44	552764	EIF2A
A0A7M7R7L5	Q96KG9	411758	SCYL1
A0A7M7GQB6	P21283	LOC411892	ATP6V1C1
A0A7M7R827	O00255	410989	MEN1
A0A7M7MLW4	Q96KR4	LOC409923	LMLN
A0A7M7GX08	Q14254	726243	FLOT2
A0A7M7GXJ0	Q9NZJ5	LOC727396	EIF2AK3
A0A088AHC8	P04406	410122	GAPDH
A0A7M7G7I7	Q9BU23	724741	LMF2
A0A7M7R6I2	Q9BXC9	LOC412827	BBS2
A0A7M7MVH6	Q01780	LOC113219318	EXOSC10
A0A7M7GK64	P78406	409169	RAE1
A0A7M7GWV4	O95544	LOC408470	NADK
A0A7M7MP02	Q6UXN9	LOC411879	WDR82
A0A7M7R7N1	Q86SF2	411799	GALNT7
A0A7M7R736	O43318	LOC413809	MAP3K7
A0A7M7R7F6	Q969U6	412155	FBXW5
A0A7M7MV27	Q8NHU2	LOC726905	CFAP61
A0A7M7GUN0	Q15542	724502	TAF5
A0A7M7L979	Q86UA1	LOC408850	PRPF39
A0A7M7H6E7	Q92600	412388	CNOT9
A0A7M7GJF7	Q03701	100578014	CEBPZ
A0A7M7GK06	Q9C0C9	724799	UBE2O
A0A7M7R6L5	Q8TEQ8	409860	PIGO
A0A7M7TFG9	Q6ZNF0	413429	ACP7
A0A7M7R4P6	Q567U6	LOC408609	CCDC93
A0A7M7MQV1	Q92560	LOC725780	BAP1
A0A7M7M152	O94762	LOC552317	RECQL5
A0A7M7MSW6	P17405	727146	SMPD1
A0A7M7IGT0	Q13905	409856	RAPGEF1
A0A7M7RC45	Q9H9F9	551521	ACTR5
A0A7M7R2P6	P51665	408413	PSMD7
A0A7M7R9G4	Q8N7H5	552621	PAF1
A0A7M7R7W9	Q5JST6	412641	EFHC2
A0A7M7GAJ3	Q86VV8	LOC100578040	RTTN
A0A7M7R9G9	O75600	411916	GCAT
A0A7M7GN76	O94880	LOC726608	PHF14
A0A7M7GW29	O95363	413139	FARS2
A0A7M7R5F2	P47756	409581	CAPZB
A0A7M7MLU5	Q9GZR7	LOC726586	DDX24
A0A7M7H7A9	Q5C9Z4	100576775	NOM1
A0A7M7R2I6	P42765	408291	ACAA2
A0A7M7RAV4	Q92622	413668	RUBCN
A0A7M7MKT2	Q9BX63	LOC411185	BRIP1
A0A7M7MQU3	Q8WUA2	LOC100577735	PPIL4
A0A7M7GX58	Q9UNQ2	LOC552043	DIMT1
A0A7M7SP20	Q96LI5	LOC412552	CNOT6L
A0A7M7R327	Q8N394	LOC408787	TMTC2
A0A7M7TFS3	O95202	551843	LETM1
A0A7M7IK73	Q9NQC7	LOC410344	CYLD
A0A7M7GSI8	P37837	LOC413867	TALDO1
A0A7M7LNW5	Q8IZ73	410341	RPUSD2
A0A7M7R7Q1	P12694	412548	BCKDHA
A0A7M7GPS9	Q9UI46	552070	DNAI1
A0A7M7G155	P22304	724550	IDS
A0A7M7GMW7	Q63HQ2	409782	EGFLAM
A0A7M7L571	P49917	LOC726551	LIG4
A0A7M7H151	O14775	409113	GNB5
A0A7M7FYM5	Q92541	725696	RTF1
A0A7M7ILC9	Q9P2E2	LOC411814	KIF17
A0A7M7TFY9	Q9UHB9	552776	SRP68
A0A7M7LNL1	P32929	412460	CTH
A0A7M7GXL7	Q9UBS4	LOC552223	DNAJB11
A0A7M7GPT0	Q9Y2X0	551212	MED16
A0A7M7GAK0	Q6XQN6	550885	NAPRT
