source	target	source_gene	target_gene
A0A7M7MN10	Q9VXL9	726970	Lcch-14A
A0A7M7L993	X2JDY8	LOC727108	Graf
A0A7M7R5K6	Q9VKZ8	411572	Usp14
A0A7M7LT70	Q9VUW9	411148	Hip14
A0A7M7TF02	Q95TU2	LOC409347	Dmel\CG6686
D9MWM7	A1ZAI5	FAR1	CG5065
A0A7M7GXJ0	Q9NIV1	LOC727396	PEK
A0A7M7TFF2	Q9VUR1	412010	mrn
A0A7M7IG63	Q9VYG7	409336	MFS10
A0A7M7MS06	P09615	LOC413502	wg
A0A7M7RAA9	Q7K4B3	LOC412937	Elp2
A0A7M7TFK7	P19107	550791	Arr2
A0A7M7GZ78	Q8MVS5	LOC552496	Pgant35A
A0A7M7LMH6	Q9VU95	LOC408817	CG8745
A0A7M7L6J3	Q9V6U8	409394	Uba3
A0A7M7MM82	Q9V9A8	LOC551885	phtf
A0A7M7MTS0	Q9VF41	LOC726600	Ttc26
A0A7M7R482	Q9VL42	LOC410154	CG13132
A0A7M7R7I8	O77410	551242	eIF3e
A0A7M7FZK7	Q9W0E8	725599	CG12084
A0A7M7GDW6	Q9VI54	LOC100579003	Dmel\CG1965
A0A7M7R3L1	Q86P97	409691	SppL
A0A7M7R9G4	Q9VN55	552621	atms
A0A7M7IFM9	Q9W0I6	411013	Sac1
A0A7M7LRS3	Q9V3A8	550798	ergic53
A0A7M7ILH0	Q6NP60	LOC410362	olf413
A0A7M7FXK9	P29503	LOC724242	neur
A0A7M7L979	Q7KRW8	LOC408850	CG1646
A0A7M7TF27	P46415	409773	Fdh
A0A7M7LTH2	Q8IN05	LOC413132	lqfR
A0A7M7GS22	Q9VYU7	LOC410581	dy
A0A7M7GJ82	Q9VX01	LOC413386	Dmel\CG6847
A0A7M7MP02	Q9VLN1	LOC411879	Wdr82
A0A7M7MPJ5	Q9VTZ4	LOC725539	nst
A0A7M7R8N9	Q24044	552186	fzy
A0A7M7ITQ0	Q9VCW3	LOC411735	Nup133
A0A7M7GW58	Q9VWH4	409292	l(1)G0156
A0A7M7L4S4	Q27421	osp	osp
A0A7M7MKH5	Q4U2Q5	LOC410097	mus201
A0A7M7GLZ1	Q9VLV6	LOC412476	Dmel\CG7102
A0A7M7M4F4	Q9VBC4	411604	Dmel\CG6420
A0A7M7M0Y6	Q9VYV5	552522	FucT6
A0A7M7IEB6	Q8IPW1	408693	aru
A0A7M7R7F9	A1Z935	410816	ZnT49B
A0A7M7R5I8	P46867	409676	Klp68D
A0A7M7M4V5	Q9V393	409006	krz
A0A7M7MNK3	Q0KHR7	LOC412647	Sep4
A0A7M7TF17	Q29R09	409607	NICE5
A0A7M7R538	Q9VHG1	409117	Vps16A
A0A7M7GA87	Q0E8H9	725178	Hexo1
A0A7M7R7W7	Q7K4L8	411450	Dmel\CG7878
A0A7M7MTG2	Q9VIK9	412624	CG2614
A0A7M7TFB1	Q9VC06	412154	Dmel\CG11771
A0A7M7MVT4	M9PEG6	LOC552634	ZnT63C
A0A7M7M5I5	Q76NQ1	LOC411617	rho-5
A0A7M7GNQ5	Q9VGE3	412932	DCAF12
A0A7M7GYE4	Q8T0S6	410208	hpo
A0A7M7H5W3	Q9W2H2	LOC410271	cv-2
A0A7M7R4F1	Q9VQB7	LOC408434	Eogt
A0A7M7MNI1	A0A0C4DHC8	LOC411822	Aldh-III
A0A7M7L3X1	P40797	725834	pnut
A0A7M7LN44	Q9VTF5	410618	Dmel\CG7638
A0A7M7R7L9	Q9VUH4	412423	Dmel\CG9384
A0A7M7GPY8	Q7JR83	413702	Hsl
A0A7M7H5U0	P91891	LOC409886	Mo25
A0A7M6UEA1	Q9VUQ7	408324	Dmel\CG7739
A0A7M7L475	Q9VAV2	406098	mIF2
A0A7M7R5W1	Q9VVR1	411920	not
A0A7M7H2W8	Q1LZ08	LOC411121	CG9062
A0A7M7FXR2	A1Z7C1	724296	Mlh1
A0A7M7R7M9	Q9VC48	LOC410385	MAP1A
A0A7M7LRB8	Q9NHN2	LOC726156	fbl
A0A7M7TFK1	Q9VT04	413000	path
A0A7M7R868	Q9VK25	551931	Pect
A0A7M7R5I5	Q9XYR0	LOC408754	Traf4
A0A7M7ILR4	A0A0B4KGP1	LOC726587	Alh
A0A7M7RC45	Q9VEC3	551521	Arp5
A0A7M7GRA4	Q9VWP5	LOC409456	htk
A0A7M7GXU6	Q0E8J0	LOC409717	MEP-1
A0A7M7R5D7	Q9W1V1	LOC408925	Art7
A0A7M7IHB9	Q9VCA8	LOC409983	mask
A0A7M7GPT5	A0A0C4DHD7	LOC552017	alpha-Catr
A0A7M7G267	Q9W3M4	LOC725122	l(1)G0193
A0A7M7R8M8	Q9VA53	552273	Dmel\CG2246
A0A7M7IGY6	Q95RR8	409718	PAN3
A0A7M7H0E0	A0A0B4KFL3	413966	Kat60
A0A7M7SRV4	Q9VWP4	LOC411849	CG7280
A0A7M7R2U7	Q9VSA3	408567	CG12262
A0A7M7MPJ3	A1ZA47	LOC410204	Zasp52
A0A7M7MM55	P98159	LOC551514	ndl
A0A7M7RAP6	Q95TL8	552191	Dmel\CG9911
A0A7M7L2C1	P48612	551216	pelo
A0A7M7RBF3	Q9VK63	411003	Dmel\CG5776
A0A7M7GRX3	Q9VQI2	412397	CT10107
A0A7M7IHE1	P30052	LOC408616	sd
A0A7M7GKY5	Q7JUR6	LOC409182	CG18812
A0A7M7R2N3	Q9VRI0	408371	Hlc
A0A7M7RA61	Q9VDT1	411697	Arc42
A0A7M7GTY4	Q9VSL9	LOC408288	Dmel\CG6638
A0A7M7TF83	Q9W297	LOC411552	GlcT
A0A7M7GQ42	P23625	LOC550818	Galphaq
A0A7M7RBP0	Q3ZAN1	551156	GPHR
A0A7M7MRG5	Q9VPC0	LOC552759	Pitslre
A0A7M7L944	Q24492	LOC725934	RpA-70
A0A7M7TF37	Q9VRG8	409927	Dmel\CG1486
A0A7M7GT44	A0A1F4	LOC726433	eys
A0A7M7R5Z4	Q9VCW2	LOC412774	cd
A0A7M7H040	Q9W2B3	551699	Dmel\CG9304
A0A7M7LRL0	Q7JY97	551610	phr
A0A7M7GXZ3	Q9VUJ2	Reck	Reck
A0A7M7GWU3	Q8IQF1	LOC551891	Mocs1
A0A7M7GMI4	Q24564	100576968	Mer
A0A7M7R4Y1	Q05319	LOC410624	Sb
A0A7M7GLW6	Q9VIS4	409969	Dmel\CG10463
A0A7M7LIE1	Q9VPF3	725400	Hpd
A0A7M7LPI8	Q9V3H2	410072	Rpn11
A0A7M7R845	Q9VD28	LOC411069	PSR
A0A7M7MGJ5	Q9VM15	LOC408793	chm
A0A7M7LIF1	A1ZAY8	725781	Vps50
A0A7M7H4U2	P29052	411965	TfIIB
A0A7M7R7A9	Q8I0K9	411725	Dmel\CG32820
A0A7M7LLV0	Q9W330	LOC551005	Hex-A
A0A7M7RAE2	Q9GQQ0	413089	spin
A0A7M7GU63	Q8SWW9	552744	EG:171D11.2
A0A7M7L7W3	A1Z968	LOC411154	NAT1
A0A7M7GQL1	Q9VEN3	410427	GckIII
A0A7M7R499	Q9VLP7	409900	Mettl14
A0A7M7MUK3	Q24563	406070	Dop1R2
A0A7M7TFS4	Q9VBG1	LOC551121	Dmel\CG6154
A0A7M7TFR2	Q9VE24	LOC550884	Dmel\CG14291
A0A120HXK8	Q9VZG8	100577273	Teh3
A0A7M7R7L6	Q24324	LOC409925	Dsor1
A0A7M7H0F6	Q9VR44	550691	CT10168
A0A7M7MS29	Q7KV24	LOC552108	CT35992
A0A7M7GMB6	Q9W2C9	LOC408544	Loxl2
A0A7M7GTS4	Q0KI98	727582	TrpRS
A0A7M7L657	Q9VG79	LOC551552	Dip-C
A0A7M7GWC4	Q9VM49	LOC552289	Caper
A0A7M7RB09	O61613	LOC552485	Nmt
A0A7M7IT32	Q6NNF2	LOC408699	Pde8
A0A7M7MT93	Q9V4C4	LOC409138	Syt7
A8J4S9	Q9W2M2	>sp|A8J4S9|TREA_APIME	Treh
A0A7M7MUZ5	A0A0B4KH86	LOC408462	Irk1
A0A7M7R744	Q0KI14	413844	BcDNA:GH19411
A0A7M7R5J0	Q9VZW7	LOC411473	CPT2
A0A7M7IHS6	P20478	410066	Gs2
A0A7M7LTK7	Q9VCX7	725268	Dmel\CG31156
A0A7M7R648	P16395	412299	mAChR-A
A0A7M7FZR9	A0A0B4KHD0	LOC726331	Octalpha2R
A0A7M6UQ04	Q960W6	LOC725187	CG8306
A0A7M7G2V4	O17468	727229	Hira
A0A7M7INP6	Q9I7D0	107964213	PhKgamma
A0A7M7R8S4	Q9VCE6	551911	Mettl3
A0A7M7TFG9	X2JB52	413429	Dmel\CG1637
A0A7M7L587	A1Z7L8	LOC550930	babo
A0A7M7MKK8	A8JR01	LOC408874	CG14365
A0A7M7GWU5	Q9VHU1	LOC102656093	CG9630
A0A7M7R8U8	Q9VBP6	412305	Ssadh
A0A7M7LN20	O96689	411619	vtd
A0A7M7R8S0	Q9VE09	413878	gatA
A0A7M7R7Z1	Q95RB1	411538	cg14641
A0A7M7L517	Q9W539	LOC410925	Hr4
A0A7M7IHP6	Q9VSE8	410234	Uxs
A0A7M7GYY7	Q9V400	413354	Ilk
A0A7M7R6D6	Q9VSH9	409639	CG7083
A0A7M7L114	P98163	LOC725920	yl
A0A7M7IIS3	A1ZBD6	LOC408906	Mctp
A0A7M7IM62	Q24319	552051	Ost48
A0A7M7L4H3	Q9VGW7	LOC725362	Art1
A0A7M7R3X8	Q9VVU1	409712	CT12987
A0A7M7GXW9	Q95SP2	100576667	sip3
A0A7M7MUI0	P09180	LOC408526	RpL4
A0A7M7R8A2	A1Z6W3	LOC410724	pk
A0A7M7MRB5	Q9W0E9	LOC724287	stet
A0A7M7TFY9	Q9VSS2	552776	Srp68
A0A7M7IGE5	O61491	551337	Flo1
A0A7M7GR92	A2VEI2	LOC552081	CG4495
A0A7M7R9R8	Q7K284	551305	cbc
A0A7M7MK89	Q9VQU3	LOC410117	Dmel\CG2818
A0A7M7LK73	Q8MLW5	413840	MFS16
A0A7M7ILC5	Q960U8	552377	mdy
A0A7M7LSN3	Q8IPK4	LOC413713	CG31915
A0A7M7RA85	Q24546	LOC551737	Syn
A0A7M7R6S5	Q8T043	LOC410067	chk
A0A7M7R766	O97143	LOC550739	SAK
A0A7M7LPW1	Q9VBU2	LOC550969	RIOK2
A0A7M7SQA8	Q4Z8K6	LOC107964022	RanBPM
A0A7M7LN75	Q9VJ14	409303	mib2
A0A7M7GQK9	Q9VYI6	LOC552569	Coq8
A0A7M7TFL2	Q9VP77	LOC413209	Dmel\CG10565
A0A7M7L3G9	E1JI03	LOC551055	bmm
A0A7M7LNN3	Q9VCM6	LOC408887	Dmel\CG4393
A0A7M7MGB6	P40427	LOC408763	exd
Q70TB0	Q7JQF1	oa1	Oamb
A0A7M7LPK4	Q9VMW9	LOC411696	Gmd
A0A7M7R900	Q9V438	412526	CaBP1
A0A7M7R563	Q9VRA2	mal	mal
A0A7M7H5A2	Q9VZ08	LOC411806	CG1657
A0A7M7IHC8	Q24352	413803	Grd
A0A7M7GSE9	Q9XZ58	551410	CSN5
A0A7M7GT13	Q9VEL2	409247	Brf
A0A7M7MW93	Q9VKB9	LOC100578281	Rab3-GAP
A0A7M7L790	M9PGZ8	LOC724535	Smr
A0A7M7GPY9	Q8IQI5	552008	CG10982
A0A7M7GZ16	Q9W1A2	725320	Naa35
Q56JK9	Q8IS44	dop3	Dop2R
A0A7M7L2G9	Q9VIF0	LOC413591	CG9246
A0A7M7GS85	Q8SXX1	409276	PIP4K
A0A7M7GLG7	Q7K4M9	LOC412459	Dmel\CG15118
A0A7M7IEN9	Q494G7	411052	MFS17
A0A7M7MS69	Q8T390	LOC408623	EndoA
A0A7M7GR90	Q9VNI8	409647	Hpr1
A0A7M7GRX4	O61661	413964	grp
A0A7M7RB28	Q9VK41	LOC413930	Ttc30
A0A7M7MN75	Q9VF91	LOC551880	gi21357449
A0A7M7IH82	Q960F7	411252	Dmel\CG2017
A0A7M7IHB7	Q9NJH0	551211	eEF1gamma
A0A7M7R4D8	A1Z6W9	408405	pwn
A0A7M7M5I8	P23654	LOC408447	Nrt
A0A7M7LP75	Q9V9T4	LOC411756	Acf
A0A7M7LTA6	P33085	inx	shakB
A0A7M7L2F7	A0A0B4K7N1	LOC552513	side
A0A7M7GPM2	A0A0B4K7K9	brp	brp
A0A088ASM4	Q7JUS9	PiC	Mpcp1
A0A7M7IMH5	Q9VAC1	LOC409180	Dmel\CG7920
A0A7M7GK64	Q9W2E7	409169	Rae1
A0A7M7TG15	Q6NN55	LOC552342	oys
A0A7M7R874	Q95U38	LOC551958	ScsbetaA
A0A7M7R827	Q9VM47	410989	Mnn1
A0A7M7R7B4	Q9W352	411265	Cfp1
A0A7M7SR12	Q9W0V1	LOC410732	Pdk1
A0A7M7ML34	M9NDI3	LOC727452	Snx6
A0A7M7GNE8	Q8IPN2	411323	5-HT2A
A0A7M7LN50	Q9W4D1	LOC100576433	Dmel\CG3309
A0A7M7R379	Q9VBW3	409061	Cad96Ca
A0A7M7MVH6	Q9VFF3	LOC113219318	Rrp6
A0A7M7IIR9	Q8IMH9	LOC552096	Dmel\CG31019
A0A7M7R331	Q9W133	408866	Adck
A0A7M7R804	Q9XYP7	412823	Grip84
A0A7M7LNV9	M9PF56	LOC410320	dysc
A0A7M7R7K0	Q9W517	412129	wapl
A0A7M7GPC6	Q7K519	551980	RagC-D
A0A7M7GZ98	Q8MMC6	412986	CG18680
A0A7M7R8J4	Q9VZ20	411816	Dlic
A0A7M7MQI6	Q9VPY8	LOC411719	Tgt
A0A7M7GQ20	Q9VC35	LOC413919	lili
A0A7M7RB19	Q9I7S8	LOC551966	ade5
A0A7M7GSW4	Q9VCX1	LOC726548	loco
A0A7M7MMV7	Q961Q9	LOC113218569	Dmel\CG5687
A0A7M7LSN1	Q9W366	LOC725576	Dmel\CG12121
A0A7M7IFP8	Q9VVY0	LOC409596	Dmel\CG14085
A0A7M7GWS3	Q7K1L4	LOC411065	Dmel\CG8468
A0A7M7R5B7	Q7JZB4	LOC409329	CG1129
A0A7M7R743	Q7K485	409341	cathD
A0A7M7IL83	Q7K2N3	412220	MFS9
A0A7M7R362	Q9VXK6	408979	eIF5
A0A7M7GAQ2	A0A0B4KGY6	410165	ps
A0A7M7MPF1	Q5EAK6	LOC725613	tefu
A0A7M7GN82	A0A0B4K6N4	409024	tmod
A0A7M7R9U3	Q9VDZ7	412409	Dmel\CG11779
A0A7M7MQ69	Q7KTS2	LOC408358	Atg17
A0A7M7RCB6	Q9VYB2	LOC551701	Dmel\CG11178
A0A7M7GBH8	A0A0B4KGS4	551659	Pak3
A0A7M7RAC7	Q9VKH0	551090	CG6488
A0A7M7GDQ8	Q9VY22	100578557	Dmel\CG15890
A0A7M7SQ85	Q9VDE9	LOC409268	RhoGAP93B
A0A7M7H234	Q8IP19	LOC411009	dac
A0A7M7FY74	Q9VCQ7	724888	Rassf
A0A7M7MKL9	Q9VZT7	LOC414017	Girdin
A0A7M7IXZ8	Q8IH00	LOC551689	Mat89Ba
A0A7M7R686	Q9VPE8	LOC410432	Dmel\CG5955
A0A7M7LLZ8	Q9W3K3	LOC724809	Dmel\CG2260
A0A7M7MVB0	Q94515	LOC100578035	ifc
A0A7M7GSJ7	Q9VSF4	LOC100578266	CG8005
A0A7M7L2Z0	B4F7L9	LOC413900	WDY
A0A7M7GKV5	P48592	414008	RnrS
A0A7M7GM28	Q7K7A9	412308	Fen1
A0A7M7IIX3	O76324	LOC412108	dco
A0A7M7FZS3	Q9VHA0	726007	Scm
A0A7M7R7E0	O96989	410073	CDC45L
A0A7M7L581	Q07436	LOC409898	ex
A0A7M7KYZ0	Q27237	LOC411359	l(2)tid
A0A7M7R6C8	Q8IPY3	412675	Got2
A0A7M7MN83	P13706	726445	Gpdh
A0A7M7R3N6	A1Z840	LOC409462	Cdc2rk
A0A7M7RAB6	Q8SWZ1	LOC551046	Lcch-47C
A0A7M7MP89	Q9VPM1	LOC409102	Dmel\CG3645
A0A7M7H0Z4	Q9V9S8	409922	FeCh
A0A7M7TF20	Q9VMC6	410254	Dmel\CG9547
A0A7M7RBB3	Q9VB10	552717	Dmel\CG5590
A0A7M7TFZ8	Q9VD58	552128	Idh3b
A0A7M7L4T4	Q9VH78	LOC724431	CG8412
A0A7M7GTK4	Q7JVI3	409842	eIF3m
A0A7M7GZR6	P09052	410692	vas
A0A7M7MWB3	Q9VAS7	551165	Inx3
A0A7M7GZL2	Q7K511	LOC726115	D2hgdh
A0A7M7GZA9	Q6AWJ9	LOC410685	otk
A0A7M7R8L2	Q9VP06	552533	Alg11
A0A7M7GYZ9	M9ND55	LOC412865	Mp
A0A7M7LQ12	Q23977	413389	hep
A0A7M7GNF0	P91622	410424	Pdk
A0A7M7GZ06	Q7PLI7	LOC410910	CG17528
A0A7M7LMW4	Q9VAW5	LOC724517	larp
A0A7M7MSR5	Q9W0P2	LOC726862	Rev1
A0A7M7R487	Q7K0W1	409991	Dmel\CG8531
A0A7M7L8J4	Q9VTE9	LOC550745	APP-BP1
A0A7M7MPE8	A0A0B4KFB5	LOC412451	Dmel\CG5742
A0A7M7GPV7	A0A0B4KG59	412471	put
A0A7M7IG12	Q9Y103	408611	sip1
A0A7M7R706	Q9V466	413675	Nup107
A0A7M7R6G0	M9PEU1	410741	CG6327
A0A7M7MQB0	Q9VTW2	LOC409136	INPP5E
A0A7M7R2P6	P26270	408413	Rpn8
A0A7M7R2S6	Q7K2E1	LOC408742	Dmel\CG8839
A0A7M7L563	Q9VMY5	LOC409334	beta-Man
A0A7M7GQH5	Q9VMT4	551193	Dmel\CG7742
A0A7M7MU65	A1Z6I3	LOC412791	CG12551
A0A7M7R4T7	Q95RC5	410792	Dmel\CG5745
A0A7M7MT84	B7YZU4	LOC724592	Camta
A0A7M7R9E8	P07764	LOC550785	Ald
A0A7M7R7Q9	Q7K155	410507	Dmel\CG6928
A0A7M7L2E8	Q24312	LOC411828	ewg
A0A7M7R782	Q9VEJ1	411122	SF1
A0A7M7GRJ4	Q9XZS9	LOC725323	Dmel\CG11403
A0A7M7H151	Q9W3J1	409113	Gbeta5
A0A7M7R831	Q9VYD5	LOC412889	cg1673
A0A7M7IJG6	A8DY75	LOC410402	c-SP32
A0A7M7GRY9	Q961U0	LOC726476	Mgat2
A0A7M7R932	Q7KT06	LOC412667	Ret
Q6VQ13	Q26365	406075	sesB
A0A7M7MTI4	A0A0B4K7J3	LOC725711	sax
A0A7M7H5V0	Q8MQJ8	410782	Hip1
A0A7M7RC85	Q8IMZ9	552818	wfs1
A0A7M7R618	P54367	410129	CkIalpha
A0A7M7R8A6	Q9VTD7	552193	Dmel\CG7888
A0A7M7MN39	Q8MT36	LOC102655244	Mes-4
A0A7M7IFD3	Q9Y117	410938	pgant3
A0A7M7GWT5	P18168	411086	Ser
A0A7M7R810	Q9VPX2	LOC410920	MFS3
A0A7M7GW63	A8JV32	LOC410862	Dmel\CG33181
A0A7M7R8G8	Q9VEJ2	413720	l(3)07882
A0A7M7GN51	P29617	LOC406073	pros
A0A7M7MP84	Q9NJG9	LOC409170	Su(z)12
A0A7M7R8U3	Q05192	LOC413474	Hr39
A0A7M7MX98	Q9W3N9	LOC726218	Dmel\CG10932
A0A7M7MU79	P31396	LOC408586	Hr3
A0A7M7IFI5	Q9VFV9	724368	Droj2
A0A7M7G9U2	Q9V3D2	552084	Coprox
A0A7M7MU73	Q9VDK7	LOC726435	Srp72
A0A7M7GUK4	A8E6R2	LOC100576186	Dmel\CG11241
A0A7M7R9G9	Q9VTN9	411916	Dmel\CG10361
A0A7M7TEW8	Q9VCE1	408834	Atg6
A0A7M7R7V2	Q9V3A6	551535	Ero1L
A0A7M7IM43	Q7JQW6	552644	Las
A0A7M7LM38	Q9VGK7	551809	Elp1
A0A7M7FYG8	Q8MT06	724161	Ns1
A0A7M7R4X0	P51140	LOC409050	dsh
A0A7M7LN78	Q7JWD3	409264	CG1598
A0A7M7TEW5	A0A0B4KHR2	409251	Dmel\CG5555
A0A7M7IF77	Q9VYB7	552278	Tango13
A0A7M7L507	Q9VVE5	LOC551123	Rbp6
A0A7M7H5K1	Q7KVX1	551103	Pdha
A0A7M7IRQ8	Q9V3I5	411630	JIL-1
A0A7M7IKH6	Q9VGP1	LOC725704	CG5270
A0A7M6UMZ6	Q7K5K3	PDHB	Pdhb
A0A7M7R548	Q27884	410924	PpV
A0A7M7R300	Q9V9X4	409023	CG11334
A0A7M7GS25	Q9VNY2	LOC724333	Syn1
A0A7M7LP47	Q8WSF3	411490	fdl
A0A7M7R2T7	Q86NP2	LOC408541	Nelf-A
A0A7M7G1S0	P27716	inx	ogre
A0A7M7R596	Q9VEX5	408448	Asun
A0A7M7GQE1	Q7JMV3	727249	CaMKI
A0A7M7LMW9	A0A0B4LGH8	LOC409525	Dmel\CG3860
A0A7M7LP70	Q9W1G1	LOC411603	Dmel\CG3735
A0A7M7TEU6	Q9VY77	408431	jub
A0A7M7GKS8	Q9VS02	LOC411889	Dmel\CG9953
A0A7M7GXL7	Q9VPQ2	LOC552223	shv
A0A7M7RAV3	Q9VE98	LOC552439	Dmel\CG8064
A0A7M7GSH1	Q9VDH6	LOC410623	Ir93a
A0A7M7R4U4	Q95TN8	411080	gwl
A0A7M7RC03	Q9VWA7	551433	gogo
A0A7M7GQU6	Q9VQ79	LOC412212	AIF
A0A7M7FZ44	Q9VCE7	725093	KrT95D
A0EM57	P09957	Y-y	y
A0A7M7R8U1	Q9Y0Z0	551964	mmy
A0A7M7GRK4	Q8IP70	LOC411345	BG:DS08249.1
A0A7M7GSW7	B7YZL3	LOC727232	10737
A0A7M7R5R8	O96880	411786	TfIIEalpha
A0A7M7IIY9	M9NEH9	LOC408372	mub
A0A7M7IKC6	Q9VTJ4	412394	Fuca
A0A7M7GX77	Q9VIW9	410530	Alp12
A0A7M7R6P0	Q8MT18	410396	Dmel\CG5028
A0A7M7MLX9	Q86B44	LOC412610	Gss2
A0A7M7L3J9	A0A0B4LFV4	LOC411209	Rgk2
A0A7M7R890	Q8MSU3	LOC413128	CG8399
A0A7M7MNM4	B7Z0R7	LOC725024	Atg16
A0A7M7M5W5	Q9VVK8	724538	cg5589
A0A7M7M152	Q9V433	LOC552317	RecQ5
O44198	P41596	dop1	Dop1R1
A0A7M7GZZ4	Q9VPN5	102656934	Stip1
A0A7M7R734	Q9W3Y4	LOC411586	pigs
A0A7M7R3J0	Q6NP91	LOC409310	CT31310
A0A7M7GNJ2	Q9VK89	LOC552018	CG6388
A0A7M7R8F3	Q9VID4	410953	Mondo
A0A7M7R3D0	O18640	409450	Rack1
A0A7M7ILA0	Q9VUX3	LOC107963993	Notum
A0A7M7MXL9	A1Z9W4	LOC409322	Pcf11
A0A7M7MNT6	Q9VDL4	LOC102653793	Dmel\CG10877
A0A7M6UQ09	Q9VFZ4	LOC551434	Dmel\CG7966
A0A7M7G8P2	Q9VYG3	726579	Dmel\CG4332
A0A7M7MN93	Q7KNQ9	LOC409249	cnk
A0A7M7GXQ1	Q9VPJ7	LOC724304	Dmel\CG4822
A0A7M7TFJ2	C8VV48	LOC413906	kar
A0A7M7R6T9	Q7PLE6	409306	Dmel\CG17691
A0A7M7R7I0	Q9VBA0	LOC411599	Dmel\CG6330
A0A7M7LPX7	Q9VKJ9	LOC413512	l(2)gd1
A0A7M7SRE3	Q9V9Z3	LOC412735	qless
Q2V0C9	Q9VRD9	CBS	Cbs
A0A7M7MH17	Q9VB70	LOC413998	CG6051
A0A7M7GAL1	Q9VI55	LOC411483	Ufl1
A0A7M7GW29	O16129	413139	PheRS-m
A0A7M7L4W3	P22464	LOC412487	AnxB9
A0A7M7TF85	Q9VUV7	411585	elgi
A0A7M7R873	Q9VW26	410583	Oat
A0A7M7SSF6	Q9VKY7	LOC727460	Dmel\CG5022
A0A7M7R8A0	O02194	LOC413169	Psn
A0A7M7GRQ2	A8DY77	411282	Drep2
A0A7M7MNB9	Q9VED0	LOC412787	CG7218
A0A7M7IRE6	Q9VTM2	LOC552087	Dph1
A0A7M7GYC4	Q0E8P0	410197	phr6-4
A0A7M7GWN0	Q9VL76	LOC100578653	mtDNA-helicase
A0A7M7GVP7	Q7JWW5	413889	CG8078
A0A7M7GL65	Q60GL7	410105	Mgat1
A0A7M7MPD5	Q9VV59	LOC411707	GluRS-m
A0A7M7MW33	Q9VTU0	LOC724948	CG5645
A0A7M7TFR4	Q9VCN6	550920	Cdc16
A0A7M7MQK8	Q8IQA9	LOC410282	Culd
A0A7M7R2I6	Q9VL70	408291	yip2
A0A7M7GS65	Q7K4A1	LOC410532	CNT2
A0A7M7GQI0	Q9VI82	LOC725755	CG1234
A0A7M7TFU7	Q9VY98	552182	x93
A0A7M7SRL6	Q9VZI8	LOC552210	Faa
A0A7M7FZV9	P23647	726525	fu
A0A7M7L3N4	Q24216	LOC412339	Cdk7
A0A7M7MX52	Q9W423	LOC727350	schlank
A0A7M7GAA1	Q7JRE1	409245	dibeta3GnT2
A0A7M7LTJ6	Q9VJ37	LOC100577472	tup
A0A7M7MM38	Q9VHH8	LOC411392	beag
A0A7M7R6G5	Q9VKQ3	LOC413404	CG6724
A0A7M7L3C5	Q9VFS9	411036	Task6
A0A7M7TFS3	P91927	551843	Letm1
A0A7M7R5F2	P48603	409581	cpb
A0A7M7GV40	Q9VMR6	ACSF2	Dmel\CG12512
A0A7M7MPC4	Q9VTL5	LOC100576572	RIOK1
A0A7M7MT49	Q9W1Z4	LOC551249	CG30266
A0A7M7R8X1	Q0KHV6	550929	Pink1
A0A7M7R7Z3	Q9VQ60	412291	Dmel\CG7289
A0A7M7R8D1	Q9VR81	LOC551952	CG17065
A0A7M7MWS9	A1ZA03	LOC100576649	Pms2
A0A7M7L1E6	Q86B61	751102	Tbh
A0A7M7GAV2	Q9V4Z9	552365	lin
A0A7M7GQN7	A1Z7M3	LOC409827	Np
A0A7M7R7U8	Q9VDR6	412762	Hs6st
A0A7M7R5A1	Q9Y137	411724	mino
A0A7M7R6M1	Q8SXP8	LOC409065	TBPH
A0A7M7LNL1	Q7JXZ2	412460	Eip55E
A0A7M7SQR3	X2JDZ1	LOC409315	PICK1
A0A7M7R8H4	P83094	411739	Stim
A0A7M7GER9	Q8SY25	LOC552798	CG10500
A0A7M7MRR1	Q9VDA0	LOC409579	Fancm
A0A7M7R7E9	O61735	LOC410757	Clk
A0A7M7IKH1	A0A0B4KF12	LOC412591	Dh31-R
A0A7M7R862	Q9Y1I2	411886	car
A0A7M7R415	Q9VPX6	LOC410158	capt
A0A7M7R6L0	Q9GU50	LOC413005	MESK2
A0A7M7R9B4	Q9W3E1	551396	IntS4
A0A7M7GNW2	Q9VRP2	412221	Dmel\CG10576
A0A7M7MLV0	Q8SYM5	LOC724578	Dmel\CG4324
A0A7M7L1R0	A1ZAV3	LOC100576321	MESR4
A0A7M7MQU3	Q9XYZ6	LOC100577735	Dmel\CG5808
A0A7M7L0K4	P08953	412703	Tl
A0A7M7RA62	Q9V431	LOC551686	Aac11
A0A7M7MN65	Q8SZY7	LOC412880	Dmel\CG5026
A0A120HXJ7	Q4V5U6	100577239	Teh4
A0A7M7FXH7	Q9VHJ4	724408	RagA-B
A0A7M7L6M2	Q9VG44	LOC409172	Dmel\CG6225
A0A7M7H2R4	M9PCF9	LOC100578112	Dmel\CG9541
A0A7M7R3H2	Q9VI04	409250	pyd3
A0A7M7GWR0	Q9VAY7	551692	CG12259
A0A7M7LKJ5	Q9VY42	725204	Dmel\CG1461
A0A7M7R8I4	Q9VHJ2	412972	Dmel\CG11975
A0A7M7MM74	Q0E8E1	LOC552239	AC
A0A7M7GMY8	Q4LBB9	LOC412896	Octbeta2R
A0A7M7R3S6	Q9VEQ0	409884	Dmel\CG3534
